season,match_number,round_number,home_team,away_team,group,home_goals,away_goals,goal_difference_home,result_90min,match_winner,knockout_aggregate,knockout_winner
2021-22,68,5,Young Boys,Atalanta,Group F,3.0,3.0,0.0,D,Draw,,
2021-22,69,5,LOSC,Salzburg,Group G,1.0,0.0,1.0,H,LOSC,,
2021-22,70,5,Sevilla,Wolfsburg,Group G,2.0,0.0,2.0,H,Sevilla,,
2021-22,71,5,Malmö,Zenit,Group H,1.0,1.0,0.0,D,Draw,,
2021-22,72,5,Chelsea,Juventus,Group H,4.0,0.0,4.0,H,Chelsea,,
2021-22,73,5,Besiktas,Ajax,Group C,1.0,2.0,-1.0,A,Ajax,,
2021-22,74,5,Inter,Shakhtar Donetsk,Group D,2.0,0.0,2.0,H,Inter,,
2021-22,75,5,Club Brugge,Leipzig,Group A,0.0,5.0,-5.0,A,Leipzig,,
2021-22,76,5,Man. City,Paris,Group A,2.0,1.0,1.0,H,Man. City,,
2021-22,77,5,Atlético,Milan,Group B,0.0,1.0,-1.0,A,Milan,,
2021-22,78,5,Liverpool,Porto,Group B,2.0,0.0,2.0,H,Liverpool,,
2021-22,79,5,Sporting CP,Dortmund,Group C,3.0,1.0,2.0,H,Sporting CP,,
2021-22,80,5,Sheriff,Real Madrid,Group D,0.0,3.0,-3.0,A,Real Madrid,,
2021-22,81,6,Paris,Club Brugge,Group A,4.0,1.0,3.0,H,Paris,,
2021-22,82,6,Leipzig,Man. City,Group A,2.0,1.0,1.0,H,Leipzig,,
2021-22,83,6,Milan,Liverpool,Group B,1.0,2.0,-1.0,A,Liverpool,,
2021-22,84,6,Porto,Atlético,Group B,1.0,3.0,-2.0,A,Atlético,,
2021-22,85,6,Dortmund,Besiktas,Group C,5.0,0.0,5.0,H,Dortmund,,
2021-22,86,6,Ajax,Sporting CP,Group C,4.0,2.0,2.0,H,Ajax,,
2021-22,87,6,Real Madrid,Inter,Group D,2.0,0.0,2.0,H,Real Madrid,,
2021-22,88,6,Shakhtar Donetsk,Sheriff,Group D,1.0,1.0,0.0,D,Draw,,
2021-22,89,6,Juventus,Malmö,Group H,1.0,0.0,1.0,H,Juventus,,
2021-22,90,6,Zenit,Chelsea,Group H,3.0,3.0,0.0,D,Draw,,
2021-22,91,6,Benfica,Dynamo Kyiv,Group E,2.0,0.0,2.0,H,Benfica,,
2021-22,92,6,Bayern,Barcelona,Group E,3.0,0.0,3.0,H,Bayern,,
2021-22,93,6,Man. United,Young Boys,Group F,1.0,1.0,0.0,D,Draw,,
2021-22,95,6,Salzburg,Sevilla,Group G,1.0,0.0,1.0,H,Salzburg,,
2021-22,96,6,Wolfsburg,LOSC,Group G,1.0,3.0,-2.0,A,LOSC,,
2021-22,94,6,Atalanta,Villarreal,Group F,2.0,3.0,-1.0,A,Villarreal,,
2021-22,97,7,Paris,Real Madrid,,1.0,0.0,1.0,H,Paris,0-1,Real Madrid
2021-22,98,7,Sporting CP,Man. City,,0.0,5.0,-5.0,A,Man. City,1-3,Man City
2021-22,99,7,Inter,Liverpool,,0.0,2.0,-2.0,A,Liverpool,1-0,Bayern
2021-22,100,7,Salzburg,Bayern,,1.0,1.0,0.0,D,Draw,2-0,Paris
2021-22,101,7,Villarreal,Juventus,,1.0,1.0,0.0,D,Draw,1-0,Inter
2021-22,102,7,Chelsea,LOSC,,2.0,0.0,2.0,H,Chelsea,1-1,Dortmund
2021-22,103,7,Atlético,Man. United,,1.0,1.0,0.0,D,Draw,1-0,
2021-22,104,7,Benfica,Ajax,,2.0,2.0,0.0,D,Draw,1-1,Barcelona
2021-22,105,8,Bayern,Salzburg,,7.0,1.0,6.0,H,Bayern,1-3,Bayern
2021-22,106,8,Liverpool,Inter,,0.0,1.0,-1.0,A,Inter,4-1,Paris
2021-22,107,8,Man. City,Sporting CP,,0.0,0.0,0.0,D,Draw,1-2,Real Madrid
2021-22,108,8,Real Madrid,Paris,,3.0,1.0,2.0,H,Real Madrid,2-6,Man City
2021-22,109,8,Ajax,Benfica,,0.0,1.0,-1.0,A,Benfica,1-1,
2021-22,110,8,Man. United,Atlético,,0.0,1.0,-1.0,A,Atlético,2-4,Barcelona
2021-22,111,8,LOSC,Chelsea,,1.0,2.0,-1.0,A,Chelsea,2-2,Inter
2021-22,112,8,Juventus,Villarreal,,0.0,3.0,-3.0,A,Villarreal,1-3,Dortmund
