season,match_number,round_number,date_utc,location,home_team,away_team,group,home_goals,away_goals,source_url,total_goals,goal_difference_home,result_90min
2021-22,37,3,2021-10-19 19:00:00+00:00,Estadio Metropolitano,Atlético,Liverpool,Group B,2,3,https://fixturedownload.com/feed/json/champions-league-2021,5,-1,A
2021-22,38,3,2021-10-19 19:00:00+00:00,Johan Cruijff ArenA,Ajax,Dortmund,Group C,4,0,https://fixturedownload.com/feed/json/champions-league-2021,4,4,H
2021-22,39,3,2021-10-19 19:00:00+00:00,Stadio San Siro,Inter,Sheriff,Group D,3,1,https://fixturedownload.com/feed/json/champions-league-2021,4,2,H
2021-22,40,3,2021-10-19 19:00:00+00:00,NSC Olimpiyskiy,Shakhtar Donetsk,Real Madrid,Group D,0,5,https://fixturedownload.com/feed/json/champions-league-2021,5,-5,A
2021-22,41,3,2021-10-20 16:45:00+00:00,Camp Nou,Barcelona,Dynamo Kyiv,Group E,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,42,3,2021-10-20 16:45:00+00:00,Stadion Salzburg,Salzburg,Wolfsburg,Group G,3,1,https://fixturedownload.com/feed/json/champions-league-2021,4,2,H
2021-22,43,3,2021-10-20 19:00:00+00:00,Estádio do SL Benfica,Benfica,Bayern,Group E,0,4,https://fixturedownload.com/feed/json/champions-league-2021,4,-4,A
2021-22,44,3,2021-10-20 19:00:00+00:00,Stadion Wankdorf,Young Boys,Villarreal,Group F,1,4,https://fixturedownload.com/feed/json/champions-league-2021,5,-3,A
2021-22,45,3,2021-10-20 19:00:00+00:00,Old Trafford,Man. United,Atalanta,Group F,3,2,https://fixturedownload.com/feed/json/champions-league-2021,5,1,H
2021-22,46,3,2021-10-20 19:00:00+00:00,Stade Pierre Mauroy,LOSC,Sevilla,Group G,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,47,3,2021-10-20 19:00:00+00:00,Stamford Bridge,Chelsea,Malmö,Group H,4,0,https://fixturedownload.com/feed/json/champions-league-2021,4,4,H
2021-22,48,3,2021-10-20 19:00:00+00:00,Gazprom Arena,Zenit,Juventus,Group H,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,49,4,2021-11-02 17:45:00+00:00,VfL Wolfsburg Arena,Wolfsburg,Salzburg,Group G,2,1,https://fixturedownload.com/feed/json/champions-league-2021,3,1,H
2021-22,50,4,2021-11-02 17:45:00+00:00,Malmö New Stadium,Malmö,Chelsea,Group H,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,51,4,2021-11-02 20:00:00+00:00,NSC Olimpiyskiy,Dynamo Kyiv,Barcelona,Group E,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,52,4,2021-11-02 20:00:00+00:00,Fußball Arena München,Bayern,Benfica,Group E,5,2,https://fixturedownload.com/feed/json/champions-league-2021,7,3,H
2021-22,53,4,2021-11-02 20:00:00+00:00,Estadio de la Cerámica,Villarreal,Young Boys,Group F,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,54,4,2021-11-02 20:00:00+00:00,Stadio di Bergamo,Atalanta,Man. United,Group F,2,2,https://fixturedownload.com/feed/json/champions-league-2021,4,0,D
2021-22,55,4,2021-11-02 20:00:00+00:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,LOSC,Group G,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,56,4,2021-11-02 20:00:00+00:00,Juventus Stadium,Juventus,Zenit,Group H,4,2,https://fixturedownload.com/feed/json/champions-league-2021,6,2,H
2021-22,57,4,2021-11-03 17:45:00+00:00,Stadio San Siro,Milan,Porto,Group B,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,58,4,2021-11-03 17:45:00+00:00,Estadio Santiago Bernabéu,Real Madrid,Shakhtar Donetsk,Group D,2,1,https://fixturedownload.com/feed/json/champions-league-2021,3,1,H
2021-22,59,4,2021-11-03 20:00:00+00:00,City of Manchester Stadium,Man. City,Club Brugge,Group A,4,1,https://fixturedownload.com/feed/json/champions-league-2021,5,3,H
2021-22,60,4,2021-11-03 20:00:00+00:00,RB Arena,Leipzig,Paris,Group A,2,2,https://fixturedownload.com/feed/json/champions-league-2021,4,0,D
2021-22,61,4,2021-11-03 20:00:00+00:00,Anfield,Liverpool,Atlético,Group B,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,62,4,2021-11-03 20:00:00+00:00,Estádio José Alvalade,Sporting CP,Besiktas,Group C,4,0,https://fixturedownload.com/feed/json/champions-league-2021,4,4,H
2021-22,63,4,2021-11-03 20:00:00+00:00,BVB Stadion Dortmund,Dortmund,Ajax,Group C,1,3,https://fixturedownload.com/feed/json/champions-league-2021,4,-2,A
2021-22,64,4,2021-11-03 20:00:00+00:00,Sheriff Stadion,Sheriff,Inter,Group D,1,3,https://fixturedownload.com/feed/json/champions-league-2021,4,-2,A
2021-22,65,5,2021-11-23 17:45:00+00:00,NSC Olimpiyskiy,Dynamo Kyiv,Bayern,Group E,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,66,5,2021-11-23 17:45:00+00:00,Estadio de la Cerámica,Villarreal,Man. United,Group F,0,2,https://fixturedownload.com/feed/json/champions-league-2021,2,-2,A
2021-22,67,5,2021-11-23 20:00:00+00:00,Camp Nou,Barcelona,Benfica,Group E,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,68,5,2021-11-23 20:00:00+00:00,Stadion Wankdorf,Young Boys,Atalanta,Group F,3,3,https://fixturedownload.com/feed/json/champions-league-2021,6,0,D
2021-22,69,5,2021-11-23 20:00:00+00:00,Stade Pierre Mauroy,LOSC,Salzburg,Group G,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,70,5,2021-11-23 20:00:00+00:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,Wolfsburg,Group G,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,71,5,2021-11-23 20:00:00+00:00,Malmö New Stadium,Malmö,Zenit,Group H,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,72,5,2021-11-23 20:00:00+00:00,Stamford Bridge,Chelsea,Juventus,Group H,4,0,https://fixturedownload.com/feed/json/champions-league-2021,4,4,H
2021-22,73,5,2021-11-24 17:45:00+00:00,Besiktas Park,Besiktas,Ajax,Group C,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,74,5,2021-11-24 17:45:00+00:00,Stadio San Siro,Inter,Shakhtar Donetsk,Group D,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,75,5,2021-11-24 20:00:00+00:00,Jan Breydelstadion,Club Brugge,Leipzig,Group A,0,5,https://fixturedownload.com/feed/json/champions-league-2021,5,-5,A
2021-22,76,5,2021-11-24 20:00:00+00:00,City of Manchester Stadium,Man. City,Paris,Group A,2,1,https://fixturedownload.com/feed/json/champions-league-2021,3,1,H
2021-22,77,5,2021-11-24 20:00:00+00:00,Estadio Metropolitano,Atlético,Milan,Group B,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,78,5,2021-11-24 20:00:00+00:00,Anfield,Liverpool,Porto,Group B,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,79,5,2021-11-24 20:00:00+00:00,Estádio José Alvalade,Sporting CP,Dortmund,Group C,3,1,https://fixturedownload.com/feed/json/champions-league-2021,4,2,H
2021-22,80,5,2021-11-24 20:00:00+00:00,Sheriff Stadion,Sheriff,Real Madrid,Group D,0,3,https://fixturedownload.com/feed/json/champions-league-2021,3,-3,A
2021-22,81,6,2021-12-07 17:45:00+00:00,Parc des Princes,Paris,Club Brugge,Group A,4,1,https://fixturedownload.com/feed/json/champions-league-2021,5,3,H
2021-22,82,6,2021-12-07 17:45:00+00:00,RB Arena,Leipzig,Man. City,Group A,2,1,https://fixturedownload.com/feed/json/champions-league-2021,3,1,H
2021-22,83,6,2021-12-07 20:00:00+00:00,Stadio San Siro,Milan,Liverpool,Group B,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,84,6,2021-12-07 20:00:00+00:00,Estádio do Dragão,Porto,Atlético,Group B,1,3,https://fixturedownload.com/feed/json/champions-league-2021,4,-2,A
2021-22,85,6,2021-12-07 20:00:00+00:00,BVB Stadion Dortmund,Dortmund,Besiktas,Group C,5,0,https://fixturedownload.com/feed/json/champions-league-2021,5,5,H
2021-22,86,6,2021-12-07 20:00:00+00:00,Johan Cruijff ArenA,Ajax,Sporting CP,Group C,4,2,https://fixturedownload.com/feed/json/champions-league-2021,6,2,H
2021-22,87,6,2021-12-07 20:00:00+00:00,Estadio Santiago Bernabéu,Real Madrid,Inter,Group D,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,88,6,2021-12-07 20:00:00+00:00,NSC Olimpiyskiy,Shakhtar Donetsk,Sheriff,Group D,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,89,6,2021-12-08 17:45:00+00:00,Juventus Stadium,Juventus,Malmö,Group H,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,90,6,2021-12-08 17:45:00+00:00,Gazprom Arena,Zenit,Chelsea,Group H,3,3,https://fixturedownload.com/feed/json/champions-league-2021,6,0,D
2021-22,91,6,2021-12-08 20:00:00+00:00,Estádio do SL Benfica,Benfica,Dynamo Kyiv,Group E,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,92,6,2021-12-08 20:00:00+00:00,Fußball Arena München,Bayern,Barcelona,Group E,3,0,https://fixturedownload.com/feed/json/champions-league-2021,3,3,H
2021-22,93,6,2021-12-08 20:00:00+00:00,Old Trafford,Man. United,Young Boys,Group F,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,95,6,2021-12-08 20:00:00+00:00,Stadion Salzburg,Salzburg,Sevilla,Group G,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,96,6,2021-12-08 20:00:00+00:00,VfL Wolfsburg Arena,Wolfsburg,LOSC,Group G,1,3,https://fixturedownload.com/feed/json/champions-league-2021,4,-2,A
2021-22,94,6,2021-12-09 18:00:00+00:00,Stadio di Bergamo,Atalanta,Villarreal,Group F,2,3,https://fixturedownload.com/feed/json/champions-league-2021,5,-1,A
2021-22,97,7,2022-02-15 20:00:00+00:00,Parc des Princes,Paris,Real Madrid,,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,98,7,2022-02-15 20:00:00+00:00,Estádio José Alvalade,Sporting CP,Man. City,,0,5,https://fixturedownload.com/feed/json/champions-league-2021,5,-5,A
2021-22,99,7,2022-02-16 20:00:00+00:00,Stadio San Siro,Inter,Liverpool,,0,2,https://fixturedownload.com/feed/json/champions-league-2021,2,-2,A
2021-22,100,7,2022-02-16 20:00:00+00:00,Stadion Salzburg,Salzburg,Bayern,,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,101,7,2022-02-22 20:00:00+00:00,Estadio de la Cerámica,Villarreal,Juventus,,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,102,7,2022-02-22 20:00:00+00:00,Stamford Bridge,Chelsea,LOSC,,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,103,7,2022-02-23 20:00:00+00:00,Estadio Metropolitano,Atlético,Man. United,,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,104,7,2022-02-23 20:00:00+00:00,Estádio do SL Benfica,Benfica,Ajax,,2,2,https://fixturedownload.com/feed/json/champions-league-2021,4,0,D
2021-22,105,8,2022-03-08 20:00:00+00:00,Fußball Arena München,Bayern,Salzburg,,7,1,https://fixturedownload.com/feed/json/champions-league-2021,8,6,H
2021-22,106,8,2022-03-08 20:00:00+00:00,Anfield,Liverpool,Inter,,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,107,8,2022-03-09 20:00:00+00:00,City of Manchester Stadium,Man. City,Sporting CP,,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,108,8,2022-03-09 20:00:00+00:00,Estadio Santiago Bernabéu,Real Madrid,Paris,,3,1,https://fixturedownload.com/feed/json/champions-league-2021,4,2,H
2021-22,109,8,2022-03-15 20:00:00+00:00,Johan Cruijff ArenA,Ajax,Benfica,,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,110,8,2022-03-15 20:00:00+00:00,Old Trafford,Man. United,Atlético,,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,111,8,2022-03-16 20:00:00+00:00,Stade Pierre Mauroy,LOSC,Chelsea,,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,112,8,2022-03-16 20:00:00+00:00,Juventus Stadium,Juventus,Villarreal,,0,3,https://fixturedownload.com/feed/json/champions-league-2021,3,-3,A
2021-22,113,9,2022-04-05 19:00:00+00:00,City of Manchester Stadium,Man. City,Atlético,,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,114,9,2022-04-05 19:00:00+00:00,Estádio do SL Benfica,Benfica,Liverpool,,1,3,https://fixturedownload.com/feed/json/champions-league-2021,4,-2,A
2021-22,115,9,2022-04-06 19:00:00+00:00,Stamford Bridge,Chelsea,Real Madrid,,1,3,https://fixturedownload.com/feed/json/champions-league-2021,4,-2,A
2021-22,116,9,2022-04-06 19:00:00+00:00,Estadio de la Cerámica,Villarreal,Bayern,,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,117,10,2022-04-12 19:00:00+00:00,Fußball Arena München,Bayern,Villarreal,,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,118,10,2022-04-12 19:00:00+00:00,Estadio Santiago Bernabéu,Real Madrid,Chelsea,,2,3,https://fixturedownload.com/feed/json/champions-league-2021,5,-1,A
2021-22,119,10,2022-04-13 19:00:00+00:00,Anfield,Liverpool,Benfica,,3,3,https://fixturedownload.com/feed/json/champions-league-2021,6,0,D
2021-22,120,10,2022-04-13 19:00:00+00:00,Estadio Metropolitano,Atlético,Man. City,,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,121,11,2022-04-26 19:00:00+00:00,City of Manchester Stadium,Man. City,Real Madrid,,4,3,https://fixturedownload.com/feed/json/champions-league-2021,7,1,H
2021-22,122,11,2022-04-27 19:00:00+00:00,Anfield,Liverpool,Villarreal,,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,123,12,2022-05-03 19:00:00+00:00,Estadio de la Cerámica,Villarreal,Liverpool,,2,3,https://fixturedownload.com/feed/json/champions-league-2021,5,-1,A
